"","TimeLost","EMP","HRSWorked","Kid1","Kid2","Kid3","Kid4","Kid5","Kid6","age1","age_group1","age2","age_group2","age3","age_group3","age4","age_group4","age5","age_group5","age6","age_group6","Education","ParentAge","Race","Income","HouseholdID","PersonalNumber","PID","Month","Year","TimeID","Weight","NonMetro","Female","SingleFamily","WelfareorSS","WorkFromHome"
"11",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",8,2021,"82021",2367300931600,0,0,1,0,0
"12",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",9,2021,"92021",2342200939300,0,0,1,0,0
"13",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",1,2023,"12023",209503997350,1,1,0,0,0
"14",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",10,2023,"102023",233535730350,1,1,0,0,0
"15",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",11,2023,"112023",236304225980,1,1,0,0,0
"16",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",12,2023,"122023",238578494510,1,1,0,0,0
"17",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",2,2023,"22023",211200245360,1,1,0,0,0
"18",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",3,2023,"32023",213620366440,1,1,0,0,0
"19",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",4,2023,"42023",218487536560,1,1,0,0,0
"20",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",5,2023,"52023",220691858920,1,1,0,0,0
"21",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",6,2023,"62023",224875465400,1,1,0,0,0
"22",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",7,2023,"72023",226545037300,1,1,0,0,0
"23",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",8,2023,"82023",229739864290,1,1,0,0,0
"24",1,0,0,1,1,1,1,0,0,7,"School Age",5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child","High School or Some College",24,"White",1,11,101,"11101",9,2023,"92023",234016044500,1,1,0,0,0
"25",0,1,0,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",1,2023,"12023",209503997350,1,0,0,0,0
"26",0,1,0,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",10,2023,"102023",233535730350,1,0,0,0,0
"27",0,1,0,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",11,2023,"112023",236304225980,1,0,0,0,0
"28",0,1,0,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",12,2023,"122023",238578494510,1,0,0,0,0
"29",0,1,0,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",2,2023,"22023",211200245360,1,0,0,0,0
"30",0,1,4,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",3,2023,"32023",213620366440,1,0,0,0,0
"31",0,1,5,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",4,2023,"42023",218487536560,1,0,0,0,0
"32",0,1,5,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",5,2023,"52023",220691858920,1,0,0,0,0
"33",0,1,5,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",6,2023,"62023",224875465400,1,0,0,0,0
"34",0,1,5,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",7,2023,"72023",226545037300,1,0,0,0,0
"35",0,1,5,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",8,2023,"82023",229739864290,1,0,0,0,0
"36",0,1,3.75,1,1,1,0,0,0,5,"Preschool",3,"Toddler",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",27,"White",1,11,102,"11102",9,2023,"92023",234016044500,1,0,0,0,0
"37",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",2706,11,102,"11102",1,2023,"12023",386831468890,1,1,1,0,0
"38",0,1,15,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",2538,11,102,"11102",10,2023,"102023",451110415190,1,1,1,0,0
"39",0,1,30,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",3169,11,102,"11102",11,2023,"112023",455703202850,1,1,1,0,0
"40",0,1,30,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",3169,11,102,"11102",12,2023,"122023",467846724280,1,1,1,0,0
"41",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",2706,11,102,"11102",2,2023,"22023",398051708620,1,1,1,0,0
"42",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",2706,11,102,"11102",3,2023,"32023",412993451860,1,1,1,0,0
"43",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",2706,11,102,"11102",4,2023,"42023",429596748470,1,1,1,0,0
"44",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",2706,11,102,"11102",5,2023,"52023",429312983390,1,1,1,0,0
"45",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",1865,11,102,"11102",6,2023,"62023",443802807520,1,1,1,0,0
"46",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",1865,11,102,"11102",7,2023,"72023",442101823120,1,1,1,0,0
"47",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",1865,11,102,"11102",8,2023,"82023",452154276090,1,1,1,0,0
"48",0,1,0,1,1,0,0,0,0,11,"School Age",7,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",31,"Residual",1865,11,102,"11102",9,2023,"92023",452686536370,1,1,1,0,0
"49",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",1,2023,"12023",621820493510,0,1,0,0,0
"50",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",8810,11,102,"11102",10,2023,"102023",421776905700,0,1,0,0,0
"51",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",8810,11,102,"11102",11,2023,"112023",426280580950,0,1,0,0,0
"52",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",8810,11,102,"11102",12,2023,"122023",433467959250,0,1,0,0,0
"53",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",2,2023,"22023",621092662170,0,1,0,0,0
"54",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",3,2023,"32023",619518749130,0,1,0,0,0
"55",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",4,2023,"42023",622466072700,0,1,0,0,0
"56",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",5,2023,"52023",514738072580,0,1,0,0,0
"57",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",6,2023,"62023",519418757230,0,1,0,0,0
"58",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",16970,11,102,"11102",7,2023,"72023",518477662420,0,1,0,0,0
"59",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",10409,11,102,"11102",8,2023,"82023",518195398510,0,1,0,0,0
"60",0,0,0,1,1,0,0,0,0,9,"School Age",9,"School Age",3022,"No Child",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",58,"Asian",8810,11,102,"11102",9,2023,"92023",426080735370,0,1,0,0,0
"61",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5083,11,102,"11102",1,2022,"12022",553289656420,0,0,1,0,0
"62",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5576,11,102,"11102",10,2022,"102022",540152756370,0,0,1,0,0
"63",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5576,11,102,"11102",11,2022,"112022",535333224600,0,0,1,0,0
"64",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5576,11,102,"11102",12,2022,"122022",537885525540,0,0,1,0,0
"65",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5083,11,102,"11102",2,2022,"22022",566373875390,0,0,1,0,0
"66",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5083,11,102,"11102",3,2022,"32022",552560637750,0,0,1,0,0
"67",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5083,11,102,"11102",4,2022,"42022",557317319910,0,0,1,0,0
"68",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5120,11,102,"11102",5,2022,"52022",554370033420,0,0,1,0,0
"69",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5403,11,102,"11102",6,2022,"62022",553619458390,0,0,1,0,0
"70",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5403,11,102,"11102",7,2022,"72022",564651209600,0,0,1,0,0
"71",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5403,11,102,"11102",8,2022,"82022",562205879700,0,0,1,0,0
"72",0,1,40,1,1,0,0,0,0,2,"Toddler",0,"Infant",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",36,"White",5437,11,102,"11102",9,2022,"92022",539120882550,0,0,1,0,0
"73",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",1,2022,"12022",827737437170,0,0,1,0,0
"74",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1049,11,101,"11101",10,2022,"102022",771158874180,0,0,1,0,0
"75",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1049,11,101,"11101",11,2022,"112022",792301719560,0,0,1,0,0
"76",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1049,11,101,"11101",12,2022,"122022",798882048520,0,0,1,0,0
"77",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",2,2022,"22022",804724426020,0,0,1,0,0
"78",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",3,2022,"32022",783955998810,0,0,1,0,0
"79",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",4,2022,"42022",792433617120,0,0,1,0,0
"80",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",5,2022,"52022",782740555010,0,0,1,0,0
"81",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",6,2022,"62022",784888949440,0,0,1,0,0
"82",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1004,11,101,"11101",7,2022,"72022",775130347530,0,0,1,0,0
"83",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1010,11,101,"11101",8,2022,"82022",783341217980,0,0,1,0,0
"84",168,1,21,1,0,0,0,0,0,3,"Toddler",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child",3021,"No Child","High School or Some College",31,"White",1049,11,101,"11101",9,2022,"92022",762969425700,0,0,1,0,0
"85",0,1,45,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",13410,11,102,"11102",1,2021,"12021",587416878510,0,0,0,0,0
"86",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11495,11,102,"11102",10,2021,"102021",599143911530,0,0,0,0,0
"87",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11808,11,102,"11102",11,2021,"112021",611959629270,0,0,0,0,0
"88",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",13194,11,102,"11102",12,2021,"122021",612942344990,0,0,0,0,0
"89",0,1,45,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",13410,11,102,"11102",2,2021,"22021",601880242110,0,0,0,0,0
"90",0,1,45,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",13410,11,102,"11102",3,2021,"32021",604394147100,0,0,0,0,0
"91",0,1,53.75,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",15215,11,102,"11102",4,2021,"42021",615723416810,0,0,0,0,0
"92",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11495,11,102,"11102",5,2021,"52021",610578834110,0,0,0,0,0
"93",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11495,11,102,"11102",6,2021,"62021",626715539910,0,0,0,0,0
"94",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11495,11,102,"11102",7,2021,"72021",622543163970,0,0,0,0,0
"95",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11495,11,102,"11102",8,2021,"82021",596161008550,0,0,0,0,0
"96",0,1,40,1,1,1,1,0,0,8,"School Age",6,"School Age",5,"Preschool",3,"Toddler",3020,"No Child",3020,"No Child","Graduate or Professional Degree",34,"White",11495,11,102,"11102",9,2021,"92021",596825866030,0,0,0,0,0
"97",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",5214,11,101,"11101",1,2023,"12023",346425502500,0,1,0,0,0
"98",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",16545,11,101,"11101",10,2023,"102023",363276655410,0,1,0,0,0
"99",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",16545,11,101,"11101",11,2023,"112023",366764923480,0,1,0,0,0
"100",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",16545,11,101,"11101",12,2023,"122023",371648610050,0,1,0,0,0
"101",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",5214,11,101,"11101",2,2023,"22023",353666939180,0,1,0,0,0
"102",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",5214,11,101,"11101",3,2023,"32023",354299197400,0,1,0,0,0
"103",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",5214,11,101,"11101",4,2023,"42023",360251380800,0,1,0,0,0
"104",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",6605,11,101,"11101",5,2023,"52023",356243057130,0,1,0,0,0
"105",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",6605,11,101,"11101",6,2023,"62023",360529197540,0,1,0,0,0
"106",0,1,30,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",4626,11,101,"11101",7,2023,"72023",357884784120,0,1,0,0,0
"107",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",6518,11,101,"11101",8,2023,"82023",360279788560,0,1,0,0,0
"108",0,1,40,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",33,"Asian",6518,11,101,"11101",9,2023,"92023",358544339460,0,1,0,0,0
"109",0,1,0,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",5214,11,102,"11102",1,2023,"12023",346425502500,0,0,0,0,0
"110",0,1,50,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",16545,11,102,"11102",10,2023,"102023",363276655410,0,0,0,0,0
"111",0,1,50,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",16545,11,102,"11102",11,2023,"112023",366764923480,0,0,0,0,0
"112",0,1,50,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",16545,11,102,"11102",12,2023,"122023",371648610050,0,0,0,0,0
"113",0,1,0,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",5214,11,102,"11102",2,2023,"22023",353666939180,0,0,0,0,0
"114",0,1,0,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",5214,11,102,"11102",3,2023,"32023",354299197400,0,0,0,0,0
"115",0,1,0,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",5214,11,102,"11102",4,2023,"42023",360251380800,0,0,0,0,0
"116",0,1,0,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",6605,11,102,"11102",5,2023,"52023",356243057130,0,0,0,0,0
"117",0,1,0,1,1,1,0,0,0,11,"School Age",5,"Preschool",2,"Toddler",3022,"No Child",3022,"No Child",3022,"No Child","High School or Some College",36,"Asian",6605,11,102,"11102",6,2023,"62023",360529197540,0,0,0,0,0
