City,Population_16plus,Poverty_Percent,Children_U6_Working_Parents,Median_Income,Unemployment_Rate,Licensed_Capacity_Total,Cap_Centers,Cap_Preschools,Cap_Family,Cap_SchoolAge,Infant_Weekly_Cost,Toddler_Weekly_Cost,Preschool_Weekly_Cost,SchoolAge_Weekly_Cost
Pittsylvania,60867,15.1,1836,49520,5.3,528,352,116,NA,60,0,0,0,0
Poquoson,12121,NA,426,100696,1.7,324,224,NA,NA,100,0,0,0,0
Portmouth,8509358,NA,396207,NA,4.6,0,NA,NA,NA,NA,0,0,0,0
Powhatan,29253,4.8,1005,93833,1.4,502,461,21,20,NA,172,167,166,132
Prince%20Edward,22892,23.2,679,44253,5.9,348,277,65,6,NA,0,0,0,0
Prince%20George,38292,7.1,1654,75123,6.5,411,69,NA,12,330,0,0,0,0
Prince%20William,466834,6.1,26181,107707,4.6,19826,12200,549,1234,5843,337,324,290,227
Pulaski,34113,13.5,1341,53689,4.9,754,358,146,NA,250,233,233,172,0
Radford,17833,39.3,241,34576,6.5,377,286,91,NA,NA,0,0,0,0
Rappahannock,7360,7.7,196,82077,4.2,239,167,72,NA,NA,242,242,242,185
Richmond%20County,8951,16.7,244,53298,2.5,325,65,58,12,190,220,200,170,0
Richmond,229233,20.9,11191,51421,6.3,14756,10004,1210,308,3234,316,303,244,150
Roanoke,99122,20.1,5251,45664,6.7,5690,3810,299,146,1435,283,256,190,115
Rockbridge,22728,12.5,768,54133,4.8,242,NA,92,NA,150,0,0,0,0
Rockingham,81138,7.9,3684,64496,3.1,1526,636,187,36,667,233,229,199,0
Russell,26937,18.2,995,38564,6.6,215,156,NA,24,35,232,210,202,125
Salem,25290,8.7,800,63411,4.9,1864,1213,36,NA,615,366,333,219,0
Scott,21761,14.8,754,41540,3.7,200,24,176,NA,NA,0,0,0,0
Shenandoah,43441,12.2,1735,56114,4.6,381,260,85,36,NA,171,161,160,210
Smyth,30539,18.7,1056,41088,5.5,360,191,97,12,60,100,100,90,141
Southampton,17829,7.8,773,63034,4.7,195,NA,195,NA,NA,175,175,145,145
Spotsylvania,134683,7.1,6095,90913,4.6,5206,3722,370,114,1000,244,230,184,162
Stafford,150185,5.5,7250,112247,3.8,5683,3817,213,254,1399,260,249,212,174
Staunton,24660,12.2,1063,52292,3.7,439,299,NA,NA,140,225,215,187,157
Suffolk,91383,9.2,4541,79899,6.2,3265,1492,500,123,1150,199,186,156,151
Surry,6459,16.3,227,56525,4.8,29,NA,17,12,NA,0,0,0,0
Sussex,11202,11.2,442,51701,6.8,123,40,74,9,NA,0,0,0,0
Tazewell,41201,NA,1338,42207,7.1,506,337,157,12,NA,0,0,0,0
Virginia%20Beach,450882,7.2,20897,78136,4.4,14982,11741,1336,315,1590,290,272,247,197
Warren,39888,10.8,1601,70109,5.8,698,573,40,10,75,163,160,155,130
Washington,54005,13.5,2181,50928,4.2,1207,597,207,44,359,232,217,217,60
Waynesboro,22300,14.9,1158,43480,4.6,641,391,NA,NA,250,218,203,190,149
Westmoreland,17873,15.7,344,53790,12.7,279,66,40,23,150,0,0,0,0
Williamsburg,15034,15.2,429,59288,5.2,4158,2026,401,11,1720,226,219,194,159
Winchester,27912,15.3,1450,61102,5.3,2055,1616,199,20,220,209,193,176,158
Wise,38032,21.1,1192,41285,9.2,238,125,89,24,NA,185,175,140,0
Wythe,28725,13.4,1123,51639,4.2,447,334,77,36,NA,145,130,130,0
York,68389,4.8,2665,93356,5.3,2868,1144,283,6,1435,0,0,0,0
